epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2524.92,1.91627,5.05896,0.01606,0.00382,0.08304,0.01622,0.00914,1.34065,5.51674,0.01524,0.000191333,0.000191333,0.000191333
2,3571.08,1.62029,4.33653,0.01287,0.88865,0.04954,0.04634,0.02888,1.4278,4.69955,0.01692,0.000383499,0.000383499,0.000383499
3,6630.02,1.63152,3.70642,0.0124,0.68396,0.08083,0.07239,0.04483,1.53187,4.26399,0.01625,0.000571783,0.000571783,0.000571783
4,12186.1,1.63151,3.41938,0.01262,0.62969,0.09405,0.11312,0.07009,1.43066,3.96784,0.01597,0.000570536,0.000570536,0.000570536
5,13299.2,1.59028,3.22024,0.01202,0.68341,0.12687,0.11958,0.07894,1.47122,3.65456,0.01652,0.000564715,0.000564715,0.000564715
6,14330.4,1.54296,3.0373,0.01145,0.67594,0.12474,0.1663,0.10947,1.43381,3.42794,0.0168,0.000558894,0.000558894,0.000558894
7,17373.9,1.5266,2.82316,0.0111,0.63758,0.16613,0.17117,0.11249,1.4836,3.24665,0.01715,0.000553073,0.000553073,0.000553073
8,19496.9,1.50876,2.72462,0.0107,0.58067,0.21028,0.20274,0.13511,1.36297,3.08519,0.01559,0.000547252,0.000547252,0.000547252
9,21354.7,1.48965,2.61181,0.01102,0.63613,0.22063,0.21554,0.15162,1.36055,3.02955,0.01659,0.00054143,0.00054143,0.00054143
10,24227.8,1.50192,2.57312,0.01095,0.39704,0.26733,0.27051,0.17368,1.44529,2.81503,0.01675,0.000535609,0.000535609,0.000535609
11,25448.5,1.47919,2.48236,0.01071,0.39936,0.28088,0.26652,0.18559,1.37141,2.85244,0.01613,0.000529788,0.000529788,0.000529788
12,26703.4,1.4319,2.40673,0.01057,0.54697,0.27553,0.28212,0.18868,1.48378,2.72253,0.01887,0.000523967,0.000523967,0.000523967
13,28168.6,1.46007,2.3211,0.01014,0.38318,0.36272,0.30446,0.21711,1.38605,2.69497,0.01729,0.000518146,0.000518146,0.000518146
14,29117.2,1.44154,2.30215,0.01095,0.36632,0.33944,0.34293,0.23543,1.31954,2.52731,0.01645,0.000512324,0.000512324,0.000512324
15,30157.6,1.41065,2.20988,0.00995,0.44164,0.29482,0.29957,0.20331,1.35945,2.5879,0.01631,0.000506503,0.000506503,0.000506503
16,32209.5,1.40911,2.16768,0.01034,0.45067,0.32511,0.34425,0.22919,1.43291,2.42478,0.01765,0.000500682,0.000500682,0.000500682
17,33186.9,1.4315,2.0936,0.01028,0.41615,0.31208,0.29942,0.19893,1.46048,2.41307,0.01795,0.000494861,0.000494861,0.000494861
18,34984.8,1.38258,2.01316,0.00958,0.44099,0.32262,0.35689,0.24868,1.38674,2.34998,0.01659,0.00048904,0.00048904,0.00048904
19,36349.2,1.41464,2.04064,0.00974,0.40538,0.39277,0.35885,0.2424,1.39833,2.32118,0.01629,0.000483218,0.000483218,0.000483218
20,37375.2,1.36744,1.97661,0.00994,0.40561,0.37346,0.37291,0.24518,1.43177,2.30461,0.01724,0.000477397,0.000477397,0.000477397
21,38324.6,1.37748,1.9386,0.00932,0.2764,0.43445,0.34022,0.22447,1.37304,2.28477,0.0157,0.000471576,0.000471576,0.000471576
22,40729.3,1.36709,1.89662,0.00951,0.35866,0.41144,0.36736,0.24449,1.47415,2.13003,0.01835,0.000465755,0.000465755,0.000465755
23,41686.9,1.37127,1.86868,0.0093,0.40752,0.39027,0.35555,0.23682,1.38167,2.24499,0.01607,0.000459934,0.000459934,0.000459934
24,43323,1.34137,1.82161,0.00956,0.46419,0.33299,0.34911,0.2338,1.39317,2.10443,0.01569,0.000454112,0.000454112,0.000454112
25,44832.9,1.34073,1.84367,0.00951,0.37643,0.3639,0.3576,0.25051,1.27984,1.99778,0.01492,0.000448291,0.000448291,0.000448291
26,45929.5,1.34757,1.82845,0.00955,0.31118,0.39561,0.35425,0.22418,1.40873,2.01909,0.01743,0.00044247,0.00044247,0.00044247
27,47497.5,1.35367,1.76873,0.00926,0.38781,0.39985,0.3765,0.25242,1.32714,2.01222,0.01582,0.000436649,0.000436649,0.000436649
28,51516.3,1.31949,1.72252,0.00921,0.50988,0.33059,0.35406,0.24239,1.414,2.02257,0.01731,0.000430828,0.000430828,0.000430828
